procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    322     14    441    0    0    94    70  380 1597  3  1 96  0  0
 1  0      0    322     14    441    0    0     0     0  153  313  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  165  339  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  143  284  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  150  294  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  146  293  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  156  296  2  0 98  0  0
 0  0      0    334     14    441    0    0     0     0  144  283  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  145  295  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  147  294  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  153  294  0  0 100  0  0
 1  0      0    334     14    441    0    0     0   148  149  295  1  0 99  0  0
 0  0      0    334     14    441    0    0     0     0  150  292  0  0 100  0  0
 0  0      0    334     14    441    0    0     0     0  147  287  2  0 98  0  0
 0  0      0    334     14    441    0    0     0     0  150  293  0  0 100  0  0
 1  0      0    315     14    441    0    0     0     0  442 2258 54  2 44  0  0
 0  0      0    271     14    441    0    0     0     0  503 1781 69  2 29  0  0
 5  0      0    265     14    441    0    0   104     0 2673 7352 84  5 11  0  0
 5  0      0    214     14    441    0    0     0     0 6011 17103 89 11  0  0  0
 3  0      0    165     14    441    0    0     0     0 7330 20831 85 15  0  0  0
 3  0      0    165     14    441    0    0     0     0 8123 30779 86 14  0  0  0
 3  0      0    137     14    441    0    0     0     0 9440 37436 78 22  0  0  0
 3  0      0    137     14    441    0    0     0     0 10650 41980 81 19  0  0  0
 1  0      0    136     14    441    0    0     0     0 7164 28671 82 18  0  0  0
 1  0      0    136     14    441    0    0     0     0 2884 11080 53  7 40  0  0
 3  0      0    135     14    441    0    0     0    72 6490 25185 54 18 28  0  0
 0  0      0    135     14    441    0    0     0     0 4812 19645 56 10 34  0  0
 0  0      0    134     14    441    0    0     0     0 2476 9943 36  5 59  0  0
 3  0      0    134     14    441    0    0     0     0 2248 8526 13  7 80  0  0
 0  0      0    134     14    441    0    0     0     0 4362 17132 35  8 57  0  0
 4  0      0    133     14    441    0    0     0     0 3754 13919 43  8 48  0  0
 0  0      0    133     14    441    0    0     0     0 5572 23842 47 11 41  0  0
 1  0      0    133     14    441    0    0     0     0 1363 4501 81  3 16  0  0
 0  0      0    133     14    441    0    0     0     0 5350 22396 74 10 16  0  0
 0  0      0    133     14    441    0    0     0     0 1930 11854 25  4 71  0  0
 0  0      0    133     14    441    0    0     0     4 2517 13613 24  4 72  0  0
 0  0      0    133     14    441    0    0     0     0 4163 33331 41 15 43  0  0
 0  0      0    133     14    441    0    0     0     0 1151 5170  9  2 89  0  0
 0  0      0    133     14    441    0    0     0     0  877 4738  7  1 92  0  0
 5  0      0    133     14    441    0    0     0     0 1954 11369 10  6 84  0  0
 0  0      0    133     14    441    0    0     0     0 1755 9951 12  4 84  0  0
 0  0      0    133     15    441    0    0     0    52 2889 15152 15  8 77  0  0
 2  0      0    132     15    441    0    0     0     0  858 5209  4  5 90  0  1
 1  0      0    132     15    441    0    0     0     0 9310 47767 42 18 40  0  0
 1  0      0    132     15    441    0    0     0     0 2057 10553 10  6 84  0  0
 2  0      0    132     15    441    0    0     0   116 1806 9168  7  4 89  0  0
 0  0      0    132     15    441    0    0     0     0 6773 35513 29 16 55  0  0
 0  0      0    132     15    441    0    0     0     0 1953 9567 10  4 86  0  0
 1  0      0    132     15    441    0    0     0     0  410 2631  4  0 96  0  0
 0  0      0    132     15    441    0    0     0     0 1349 33594 31  7 62  0  0
 1  0      0    132     15    441    0    0     0     0 4475 29904 41 12 47  0  0
 3  0      0    132     15    441    0    0     0     0 1951 9586 23  5 72  0  0
 0  0      0    132     15    441    0    0     0     0 3164 18135 11  8 81  0  0
 0  0      0    132     15    441    0    0     0     0 1547 8629  5  2 93  0  0
 2  0      0    132     15    441    0    0     0     0  999 5877  4  4 92  0  0
 0  0      0    132     15    441    0    0     0    16 2469 15471 10  6 84  0  0
 0  0      0    132     15    441    0    0     0     0  427 3017  2  1 97  0  0
 0  0      0    132     15    441    0    0     0     0 2168 12086 20  6 74  0  0
 0  0      0    132     15    441    0    0     0     0 2013 11161  9  5 86  0  0
 0  0      0    132     15    441    0    0     0     0 5949 39194 31 14 54  0  1
 0  0      0    132     15    441    0    0     0     8 1611 13673 11  3 86  0  0
 0  0      0    130     15    441    0    0     0     0 1389 11875 18  3 79  0  0
 0  0      0    132     15    441    0    0     0     0 1219 7172  4  2 94  0  0
 0  0      0    132     15    441    0    0     0     0 2470 19079 13  9 78  0  0
 0  0      0    132     15    441    0    0     0     0 1174 6648 29  4 67  0  0
 0  0      0    132     15    441    0    0     0     0 2263 15766 14  2 84  0  0
 0  0      0    131     15    441    0    0     0     0 1398 12274 11  6 83  0  0
 2  0      0    131     15    441    0    0     0     0 3666 24369 15 11 74  0  0
 0  0      0    132     15    441    0    0     0     0 2137 23311 20  8 71  0  0
 0  0      0    132     15    441    0    0     0     0  866 5370  4  2 94  0  0
 0  0      0    132     15    441    0    0     0     8 1907 15514 10  6 84  0  0
 0  0      0    132     15    441    0    0     0    36 2725 23184 16  8 76  0  0
 0  0      0    132     15    441    0    0     0     0  694 5292  4  2 94  0  0
 0  0      0    131     15    441    0    0     0     0 3059 26604 15 11 74  0  0
 0  0      0    131     15    441    0    0     0     0  591 7368  2  3 95  0  0
 0  0      0    131     15    441    0    0     0     0  878 7081  5  2 93  0  0
 1  0      0    131     15    441    0    0     0     0  800 14771  6  5 89  0  0
 0  0      0    131     15    441    0    0     0     0 1416 9605  6  3 91  0  0
 1  0      0    132     15    441    0    0     0     0 1745 10425  5  6 89  0  0
 0  0      0    132     15    441    0    0     0     0 1963 13121  8  4 88  0  0
 0  0      0    132     15    441    0    0     0     0  692 8517  6  3 91  0  0
 0  0      0    132     15    441    0    0     0     0 6435 33502 37 15 48  0  0
 4  0      0    132     15    441    0    0     0     0 3682 23638 23  7 70  0  0
 0  0      0    132     15    441    0    0     0     0 2033 23393 14  9 76  0  1
 0  0      0    132     15    441    0    0     0     0  572 5338  3  2 95  0  0
 2  0      0    132     15    441    0    0     0    16 2384 16164  8  8 84  0  0
 0  0      0    132     15    441    0    0     0     0 3775 26011 13 11 76  0  0
 0  0      0    131     15    441    0    0     0     0 4017 34323 22 14 64  0  0
 3  0      0    131     15    441    0    0     0     0 2319 20615 13  5 81  0  0
 0  0      0    131     15    441    0    0     0     0 4435 30118 16 13 71  0  0
 0  0      0    131     15    441    0    0     0     0 3753 24149 14 12 74  0  0
 0  0      0    131     15    441    0    0     0     0 3001 20090 12  7 81  0  0
