procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    303     14    434    0    0   149    83  879 3664  4  2 94  0  0
 1  0      0    303     14    434    0    0     0     8  160  313  1  0 99  0  0
 0  0      0    315     14    434    0    0     0     0  167  333  1  0 99  0  0
 0  0      0    315     14    434    0    0     0     0  148  288  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  154  299  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  145  300  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  159  308  2  0 98  0  0
 0  0      0    315     14    434    0    0     0     0  150  290  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  152  303  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  145  287  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  149  287  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  149  295  0  0 100  0  0
 0  0      0    315     14    434    0    0     0     0  156  298  1  0 99  0  0
 0  0      0    315     14    434    0    0     0     0  146  287  0  0 100  0  0
 1  0      0    314     14    434    0    0     0     0  177  581  6  1 93  0  0
 0  0      0    304     14    434    0    0     0     0  480 3271 55  3 42  0  0
 0  0      0    303     14    434    0    0     0     0 1430 3648 36  2 62  0  0
 4  0      0    284     14    434    0    0     0     0 5425 11996 69 13 18  0  0
 1  0      0    223     14    434    0    0     0     0 8125 25134 70 14 16  0  0
 1  0      0    212     14    434    0    0     0     0 5011 16620 71  9 20  0  0
 1  0      0    211     14    434    0    0     0     0 3699 14288 70  6 24  0  0
 1  0      0    200     14    434    0    0     0     8 3385 12868 74  5 21  0  0
 0  0      0    200     14    434    0    0     0    96 1666 6137 50  2 48  0  0
 1  0      0    200     14    434    0    0     0     0 1298 4187 28  1 71  0  0
 2  0      0    200     14    434    0    0     0     0  966 3093 54  1 45  0  0
 0  0      0    176     14    434    0    0     0     0 2196 11116 13  5 82  0  0
 0  0      0    176     14    434    0    0     0    60 1670 5741  8  3 89  0  0
 0  0      0    176     14    434    0    0     0     0  449  969  3  1 96  0  0
 0  0      0    176     14    434    0    0     0     0 1918 9685 13  2 85  0  0
 0  0      0    176     14    434    0    0     0     0 1056 6001 11  3 86  0  0
 0  0      0    176     14    434    0    0     0     0 1492 5550  7  1 91  0  1
 0  0      0    176     14    434    0    0     0     4 1284 7584  9  2 89  0  0
 0  0      0    176     14    434    0    0     0     0  842 8033  4  4 92  0  0
 0  0      0    176     14    434    0    0     0     0 1174 5917  7  2 91  0  0
 0  0      0    176     14    434    0    0     0     0 1334 8721  8  2 90  0  0
 0  0      0    175     14    434    0    0     0     0 2187 10572 12  5 83  0  0
 0  0      0    175     14    434    0    0     0     0 1078 5628  4  3 93  0  0
 0  0      0    175     14    434    0    0     0     0  981 6119  4  1 95  0  0
 0  0      0    175     14    434    0    0     0     0  689 3484  6  2 92  0  0
 0  0      0    175     14    434    0    0     0     0  506 1939  2  1 97  0  0
 0  0      0    175     14    434    0    0     0     0 1366 8047  5  2 93  0  0
 0  0      0    175     14    434    0    0     0     0  535 2739  5  2 93  0  0
 0  0      0    175     14    434    0    0     0     0 3123 15246 21  9 70  0  0
 0  0      0    175     14    434    0    0     0     0 1208 4178 10  1 89  0  0
 0  0      0    175     14    434    0    0     0     0 1783 6237  7  3 90  0  0
 0  0      0    172     14    434    0    0     0     0 1680 11916 13  3 84  0  0
 0  0      0    172     14    434    0    0     0     0 1265 4089 13  1 86  0  0
 1  0      0    172     14    434    0    0     0     0 1012 4272 11  2 87  0  0
 0  0      0    172     14    434    0    0     0     0 4212 17346 16  7 77  0  0
 3  0      0    172     14    434    0    0     0     0  463 1264  9  0 91  0  0
 0  0      0    172     14    434    0    0     0     0 2136 13823 26  4 70  0  0
 0  0      0    172     14    434    0    0     0    56 1239 8441  5  3 91  0  1
 0  0      0    172     14    434    0    0     0    56 1235 6145  4  1 94  1  0
 0  0      0    172     14    434    0    0     0     0  551 4129  5  2 93  0  0
 0  0      0    172     14    434    0    0     0     0  733 3763  4  1 95  0  0
 0  0      0    172     14    434    0    0     0     0  789 3674  2  1 97  0  0
 0  0      0    172     14    434    0    0     0     0  764 4479  9  1 90  0  0
 0  0      0    172     14    434    0    0     0    16  418 2098  1  0 99  0  0
 0  0      0    172     14    434    0    0     0     0 3450 18381 12  6 82  0  0
 0  0      0    172     14    434    0    0     0     0  557 3652  3  1 96  0  0
 0  0      0    172     14    434    0    0     0     0 1897 9733  6  3 91  0  0
 0  0      0    172     14    434    0    0     0     0  567 3578  6  1 93  0  0
 0  0      0    174     14    434    0    0     0     4 1990 8669  5  4 91  0  0
 0  0      0    174     14    434    0    0     0     0  672 3372  4  1 95  0  0
 3  0      0    174     14    434    0    0     0     0 1094 6057  8  2 90  0  0
 0  0      0    174     14    434    0    0     0     0 1316 5619  3  2 95  0  0
 0  0      0    174     14    434    0    0     0     0 3025 11637  8  6 86  0  0
 0  0      0    174     14    434    0    0     0     4 1852 9758  4  4 92  0  0
 0  0      0    174     14    434    0    0     0     0 2524 8847  6  5 89  0  0
 0  0      0    174     14    434    0    0     0     0  926 5113  3  1 96  0  0
 0  0      0    174     14    434    0    0     0     0 2334 12377 12  5 83  0  0
 0  0      0    174     14    434    0    0     0     0  919 3466  2  1 97  0  0
 0  0      0    174     14    434    0    0     0     0 1175 4682  5  2 93  0  0
 0  0      0    174     14    434    0    0     0     0 1804 7905  4  4 92  0  0
 0  0      0    174     14    434    0    0     0     0 1202 4858  5  1 94  0  0
 0  0      0    174     14    434    0    0     0     0  572 4073  1  1 98  0  0
 0  0      0    174     14    434    0    0     0     0 1074 6733  4  1 95  0  0
 0  0      0    174     14    434    0    0     0     0 1320 6477  2  4 94  0  0
 0  0      0    174     14    434    0    0     0     0  515 5221  3  1 96  0  0
 0  0      0    174     14    434    0    0     0     0  820 6625  4  2 94  0  0
 0  0      0    174     14    434    0    0     0     0 2112 18218 10  6 84  0  0
 0  0      0    174     14    434    0    0     0     0  570 4961  1  3 95  0  1
 3  0      0    172     14    434    0    0     0    60 1231 13350  9  3 88  0  0
 0  0      0    172     14    434    0    0     0     0  871 6381  4  1 95  0  0
 0  0      0    172     14    434    0    0     0     0  683 8119  3  2 95  0  0
 0  0      0    172     14    434    0    0     0     0 1489 12031  7  3 90  0  0
 0  0      0    172     14    434    0    0     0     0 1696 14338  8  4 88  0  0
 0  0      0    172     14    434    0    0     0    16 2242 14986  9  4 87  0  0
 0  0      0    172     14    434    0    0     0     0 2735 9556 14  3 83  0  0
 0  0      0    172     14    434    0    0     0     0 1372 8703  7  2 91  0  0
 0  0      0    172     14    434    0    0     0     0  721 6682  5  3 92  0  0
 0  0      0    172     14    434    0    0     0     0 1515 11163  5  2 93  0  0
 0  0      0    172     14    434    0    0     0     0 1698 14984  8  6 86  0  0
 0  0      0    172     14    434    0    0     0     0  619 5813  5  1 94  0  0
 0  0      0    172     14    434    0    0     0     0 1965 15724 13  6 81  0  0
 0  0      0    172     14    434    0    0     0     0 1701 17801 10  5 85  0  0
 0  0      0    172     14    434    0    0     0     0 1109 5990  3  2 95  0  0
 0  0      0    172     14    434    0    0     0     8  630 11253  3  4 93  0  0
 0  0      0    172     14    434    0    0     0     0 2045 13432  9  4 87  0  0
 0  0      0    172     14    434    0    0     0     0 1403 5611  3  2 94  0  1
 0  0      0    172     14    434    0    0     0     0 1256 4973  2  2 96  0  0
 0  0      0    172     14    434    0    0     0     0 2239 9257  5  4 91  0  0
 0  0      0    172     14    434    0    0     0     0 2743 11031  4  7 89  0  0
 0  0      0    172     14    434    0    0     0     0 1561 5699  2  2 96  0  0
 0  0      0    172     14    434    0    0     0     0  636 4018  3  0 97  0  0
 0  0      0    172     14    434    0    0     0     0  563 5111  2  2 96  0  0
 0  0      0    172     14    434    0    0     0     0 1068 7194  4  3 93  0  0
 0  0      0    172     14    434    0    0     0     4  694 5445  2  2 96  0  0
 0  0      0    172     14    434    0    0     0     0  819 2999  2  1 97  0  0
 0  0      0    172     14    434    0    0     0     0 2051 8212  4  2 94  0  0
 0  0      0    172     14    434    0    0     0     0 1751 6203  4  2 94  0  0
 0  0      0    172     14    434    0    0     0     0  778 2484  1  2 97  0  0
 0  0      0    172     14    434    0    0     0    20  642 2131  1  1 98  0  0
 0  0      0    172     14    434    0    0     0     0 1535 5565  2  1 97  0  0
 0  0      0    172     14    434    0    0     0     0 3260 12636  8  5 87  0  0
 0  0      0    172     14    434    0    0     0     0 1000 6436  3  3 94  0  0
 0  0      0    172     14    434    0    0     0     0 1285 4698  2  2 96  0  0
 0  0      0    172     14    434    0    0     0    16  654 2234  1  2 97  0  0
 0  0      0    172     14    434    0    0     0     0 1374 9711  6  4 90  0  0
 0  0      0    172     14    434    0    0     0     0 1443 12408  6  4 90  0  0
 1  0      0    172     14    434    0    0     0     0  649 6022  2  1 97  0  0
 0  0      0    172     14    434    0    0     0     0 1945 7837  4  4 92  0  0
 0  0      0    172     14    434    0    0     0     0 1502 5546  4  1 95  0  0
 0  0      0    172     14    434    0    0     0     0  887 3425  2  2 96  0  0
 0  0      0    172     14    434    0    0     0     0 1388 5680  3  2 95  0  0
 0  0      0    172     14    434    0    0     0     0 1474 5376  3  2 95  0  0
 0  0      0    172     14    434    0    0     0     0 1045 3908  2  1 97  0  0
 0  0      0    172     14    434    0    0     0     0 2784 12995 10  5 85  0  0
 0  0      0    172     14    434    0    0     0     0  293  718  2  0 98  0  0
 0  0      0    172     14    434    0    0     0     0  841 2888  2  1 97  0  0
 0  0      0    172     14    434    0    0     0     0 1335 5141  5  3 92  0  0
 0  0      0    172     14    434    0    0     0     0 2087 8642  7  3 89  0  1
 0  0      0    172     14    434    0    0     0     8  702 5562  2  2 96  0  0
 0  0      0    172     14    434    0    0     0     0  655 2000  1  0 99  0  0
 0  0      0    172     14    434    0    0     0     0  582 5690  6  3 91  0  0
 0  0      0    172     14    434    0    0     0     0 1143 11135  6  3 91  0  0
 0  0      0    172     14    434    0    0     0     0  771 10503  5  3 92  0  0
 4  0      0    172     14    434    0    0     0     0 1670 16496  8  5 87  0  0
 0  0      0    172     14    434    0    0     0     0 1026 11603  6  3 91  0  0
 0  0      0    172     14    434    0    0     0     0  491 6016  0  3 97  0  0
 0  0      0    170     14    434    0    0     0     0  882 4228  3  2 95  0  0
 0  0      0    170     14    434    0    0     0     0 1863 16541  7  6 87  0  0
 0  0      0    170     14    434    0    0     0    48 2345 17630 20  5 75  0  0
 0  0      0    170     14    434    0    0     0     0 1422 10722  4  4 92  0  0
 0  0      0    170     14    434    0    0     0     0 1009 8241  4  2 94  0  0
 0  0      0    170     14    434    0    0     0     0 1416 6813  4  2 94  0  0
 3  0      0    170     14    434    0    0     0     0 2027 17450 10  6 84  0  0
 0  0      0    170     14    434    0    0     0    16  778 10508  6  2 91  0  1
 0  0      0    170     14    434    0    0     0     0 1350 17658  7  6 87  0  0
 0  0      0    170     14    434    0    0     0     0 1258 9031  5  4 91  0  0
 0  0      0    170     14    434    0    0     0     0 1086 8556 10  3 87  0  0
 0  0      0    170     14    434    0    0     0     0  438 3498  2  0 98  0  0
 0  0      0    170     14    434    0    0     0     4  623 6083  5  1 94  0  0
 0  0      0    170     14    434    0    0     0     0  591 4399  2  1 97  0  0
 0  0      0    170     14    434    0    0     0     0  561 4774  3  2 95  0  0
 2  0      0    170     14    434    0    0     0     0  851 4367  6  1 93  0  0
 0  0      0    170     14    434    0    0     0     0  655 6392  4  1 95  0  0
 0  0      0    170     14    434    0    0     0     0  433 3438  1  1 98  0  0
 1  0      0    170     14    434    0    0     0     0  757 6352  3  2 95  0  0
 0  0      0    170     14    434    0    0     0     0 1753 10734  6  4 90  0  0
 0  0      0    170     14    434    0    0     0     0 1182 12564  7  2 91  0  0
 0  0      0    170     14    434    0    0     0     0  516 3543  1  2 97  0  0
 0  0      0    170     14    434    0    0     0     0  757 5996  4  0 96  0  0
 0  0      0    170     14    434    0    0     0     0  923 10516  4  3 93  0  0
 0  0      0    170     14    434    0    0     0     0  432 3263  0  1 99  0  0
 0  0      0    170     14    434    0    0     0     0 1326 11670  6  5 89  0  0
 0  0      0    170     14    434    0    0     0     0  555 3411  2  1 97  0  0
 0  0      0    170     14    434    0    0     0     8  748 6472  3  2 95  0  0
 0  0      0    170     14    434    0    0     0     0 1095 7384  5  1 94  0  0
 0  0      0    170     14    434    0    0     0     0  794 8312  3  3 94  0  0
